time	x=84.9	x=85.9	x=86.9	x=87.9	x=88.9	x=89.9	x=90.9	x=91.9	x=92.9	x=93.9	x=94.9	x=95.9	x=96.9	x=97.9	x=98.9	x=99.9	x=100.9	x=101.9	x=102.9	x=103.9	x=104.9	x=105.9	x=106.9	x=107.9	x=108.9	x=109.9	x=110.9	x=111.9	x=112.9	x=113.9	x=114.9	x=115.9	x=116.9	x=117.9	x=118.9	x=119.9	x=120.9	x=121.9	x=122.9	x=123.9	x=124.9	x=125.9	x=126.9	x=127.9	x=128.9	x=129.9	x=130.9	x=131.9	x=132.9	x=133.9	x=134.9	x=135.9	x=136.9	x=137.9	x=138.9	x=139.9	x=140.9	x=141.9	x=142.9	x=143.9	x=144.9	x=145.9	x=146.9	x=147.9	x=148.9	x=149.9	x=150.9	x=151.9	x=152.9	x=153.9	x=154.9	x=155.9	x=156.9	x=157.9	x=158.9	x=159.9	x=160.9	x=161.9	x=162.9	x=163.9	x=164.9	x=165.9	x=166.9	x=167.9	x=168.9	x=169.9
36	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
37	105.002	105.002	105.002	105.002	105.002	105.002	105.002	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
38	105.01	105.01	105.01	105.01	105.01	105.009	105.009	105.008	105.007	105.007	105.006	105.006	105.005	105.004	105.004	105.003	105.003	105.003	105.002	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
39	105.052	105.052	105.051	105.05	105.048	105.045	105.042	105.039	105.036	105.032	105.029	105.026	105.023	105.02	105.017	105.015	105.013	105.011	105.009	105.008	105.007	105.006	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
40	105.269	105.267	105.261	105.252	105.239	105.223	105.206	105.188	105.169	105.151	105.133	105.116	105.101	105.087	105.074	105.063	105.053	105.044	105.037	105.031	105.026	105.021	105.017	105.014	105.012	105.009	105.008	105.006	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
41	106.409	106.395	106.355	106.292	106.209	106.113	106.008	105.9	105.793	105.691	105.595	105.508	105.43	105.361	105.302	105.25	105.207	105.17	105.139	105.113	105.092	105.075	105.061	105.049	105.039	105.032	105.025	105.02	105.016	105.013	105.01	105.008	105.007	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
42	112.575	112.474	112.183	111.731	111.162	110.523	109.86	109.207	108.592	108.031	107.532	107.097	106.725	106.41	106.147	105.929	105.749	105.603	105.484	105.387	105.309	105.247	105.197	105.156	105.124	105.099	105.078	105.062	105.049	105.039	105.031	105.024	105.019	105.015	105.012	105.01	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
43	147.708	146.812	144.296	140.599	136.261	131.765	127.463	123.563	120.159	117.267	114.858	112.88	111.272	109.977	108.94	108.112	107.455	106.935	106.523	106.198	105.942	105.741	105.582	105.457	105.359	105.282	105.221	105.174	105.137	105.107	105.084	105.066	105.052	105.041	105.032	105.025	105.02	105.016	105.012	105.01	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
44	372.67	360.232	329.134	291.087	254.432	222.768	196.862	176.256	160.114	147.573	137.872	130.385	124.611	120.16	116.728	114.08	112.035	110.455	109.233	108.287	107.555	106.986	106.546	106.204	105.938	105.731	105.57	105.445	105.347	105.271	105.212	105.166	105.13	105.101	105.079	105.062	105.049	105.038	105.03	105.023	105.018	105.014	105.011	105.009	105.007	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
45	2407.53	1742.77	1163.82	832.059	620.689	478.226	378.886	308.029	256.669	218.994	191.102	170.301	154.697	142.934	134.029	127.264	122.11	118.172	115.157	112.843	111.064	109.694	108.637	107.821	107.191	106.702	106.324	106.03	105.802	105.625	105.487	105.38	105.297	105.232	105.181	105.141	105.111	105.087	105.068	105.053	105.041	105.032	105.025	105.02	105.016	105.012	105.01	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
