time	x=84.9	x=85.9	x=86.9	x=87.9	x=88.9	x=89.9	x=90.9	x=91.9	x=92.9	x=93.9	x=94.9	x=95.9	x=96.9	x=97.9	x=98.9	x=99.9	x=100.9	x=101.9	x=102.9	x=103.9	x=104.9	x=105.9	x=106.9	x=107.9	x=108.9	x=109.9	x=110.9	x=111.9	x=112.9	x=113.9	x=114.9	x=115.9	x=116.9	x=117.9	x=118.9	x=119.9	x=120.9	x=121.9	x=122.9	x=123.9	x=124.9	x=125.9	x=126.9	x=127.9	x=128.9	x=129.9	x=130.9	x=131.9	x=132.9	x=133.9	x=134.9	x=135.9	x=136.9	x=137.9	x=138.9	x=139.9	x=140.9	x=141.9	x=142.9	x=143.9	x=144.9	x=145.9	x=146.9	x=147.9	x=148.9	x=149.9	x=150.9	x=151.9	x=152.9	x=153.9	x=154.9	x=155.9	x=156.9	x=157.9	x=158.9	x=159.9	x=160.9	x=161.9	x=162.9	x=163.9	x=164.9	x=165.9	x=166.9	x=167.9	x=168.9	x=169.9
46	1945.23	1794.2	1500.65	1204.87	953.557	753.871	599.641	481.926	392.477	324.57	272.981	233.73	203.815	180.971	163.495	150.102	139.82	131.914	125.827	121.133	117.509	114.707	112.54	110.861	109.559	108.549	107.764	107.154	106.68	106.311	106.023	105.799	105.624	105.488	105.381	105.298	105.234	105.183	105.143	105.112	105.088	105.069	105.054	105.042	105.033	105.026	105.02	105.016	105.013	105.01	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
47	1381.78	1348.9	1258.63	1130.94	987.514	845.201	714.331	599.776	502.765	422.454	357.014	304.285	262.138	228.646	202.144	181.237	164.783	151.854	141.708	133.752	127.518	122.634	118.81	115.816	113.472	111.637	110.2	109.074	108.193	107.503	106.962	106.539	106.207	105.947	105.743	105.583	105.457	105.359	105.282	105.221	105.174	105.137	105.107	105.084	105.066	105.052	105.041	105.032	105.025	105.02	105.016	105.012	105.01	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
48	1144.72	1129.04	1084.02	1015.15	929.896	836.078	740.559	648.572	563.586	487.517	421.079	364.159	316.129	276.089	243.033	215.956	193.92	176.078	161.695	150.142	140.888	133.495	127.6	122.908	119.18	116.22	113.873	112.013	110.541	109.376	108.456	107.728	107.153	106.699	106.34	106.057	105.834	105.658	105.519	105.409	105.323	105.254	105.201	105.158	105.125	105.098	105.078	105.061	105.048	105.038	105.03	105.024	105.019	105.015	105.012	105.009	105.007	105.006	105.004	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
49	1003.43	993.887	966.072	922.242	865.729	800.421	730.248	658.763	588.886	522.795	461.941	407.134	358.672	316.477	280.211	249.381	223.414	201.717	183.71	168.852	156.655	146.686	138.567	131.979	126.646	122.342	118.875	116.088	113.851	112.059	110.625	109.478	108.563	107.833	107.252	106.789	106.42	106.127	105.894	105.709	105.562	105.446	105.353	105.28	105.222	105.175	105.139	105.11	105.087	105.069	105.055	105.043	105.034	105.027	105.021	105.017	105.013	105.011	105.008	105.007	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105
50	906.789	900.236	880.978	850.176	809.603	761.442	708.056	651.776	594.73	538.719	485.165	435.098	389.181	347.761	310.93	278.587	250.493	226.322	205.701	188.238	173.546	161.257	151.03	142.56	135.571	129.827	125.121	121.277	118.145	115.599	113.534	111.863	110.513	109.423	108.545	107.839	107.272	106.817	106.451	106.159	105.925	105.738	105.588	105.468	105.373	105.297	105.236	105.188	105.15	105.119	105.094	105.075	105.06	105.047	105.038	105.03	105.024	105.019	105.015	105.012	105.009	105.007	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105	105	105	105
51	835.473	830.625	816.316	793.226	762.415	725.233	683.196	637.882	590.817	543.393	496.811	452.043	409.827	370.676	334.895	302.617	273.836	248.438	226.232	206.978	190.408	176.245	164.213	154.046	145.499	138.346	132.385	127.435	123.339	119.96	117.18	114.899	113.033	111.509	110.266	109.255	108.434	107.769	107.23	106.794	106.442	106.158	105.93	105.746	105.598	105.479	105.383	105.306	105.245	105.196	105.156	105.125	105.1	105.079	105.063	105.051	105.04	105.032	105.026	105.02	105.016	105.013	105.01	105.008	105.006	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105	105	105
52	780.175	776.406	765.249	747.14	722.769	693.03	658.955	621.653	582.238	541.777	501.24	461.47	423.161	386.855	352.941	321.673	293.18	267.491	244.553	224.25	206.423	190.885	177.431	165.854	155.946	147.512	140.366	134.337	129.272	125.032	121.494	118.552	116.112	114.095	112.431	111.061	109.936	109.014	108.26	107.645	107.143	106.734	106.402	106.132	105.914	105.737	105.593	105.478	105.384	105.309	105.248	105.199	105.16	105.128	105.103	105.082	105.066	105.053	105.042	105.034	105.027	105.022	105.017	105.014	105.011	105.009	105.007	105.006	105.004	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105.001	105.001	105	105	105	105	105	105	105	105
53	735.756	732.719	723.71	709.027	689.148	664.698	636.413	605.1	571.594	536.719	501.255	465.907	431.291	397.92	366.199	336.429	308.813	283.464	260.422	239.663	221.115	204.666	190.181	177.508	166.487	156.955	148.754	141.731	135.745	130.662	126.364	122.742	119.7	117.153	115.026	113.256	111.786	110.568	109.562	108.731	108.048	107.486	107.025	106.648	106.339	106.087	105.882	105.714	105.578	105.468	105.378	105.305	105.246	105.198	105.16	105.129	105.104	105.083	105.067	105.054	105.043	105.035	105.028	105.022	105.018	105.014	105.011	105.009	105.007	105.006	105.005	105.004	105.003	105.002	105.002	105.002	105.001	105.001	105.001	105.001	105	105	105	105	105	105
54	699.105	696.59	689.12	676.909	660.302	639.756	615.816	589.088	560.213	529.838	498.59	467.058	435.773	405.2	375.726	347.66	321.238	296.619	273.901	253.122	234.273	217.305	202.139	188.673	176.791	166.367	157.271	149.375	142.552	136.683	131.655	127.364	123.717	120.626	118.016	115.819	113.974	112.429	111.138	110.063	109.17	108.428	107.815	107.307	106.889	106.545	106.261	106.029	105.838	105.682	105.555	105.451	105.366	105.297	105.24	105.195	105.157	105.127	105.103	105.083	105.067	105.054	105.043	105.035	105.028	105.023	105.018	105.015	105.012	105.009	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.002	105.001	105.001	105.001	105.001	105	105	105	105
55	668.216	666.09	659.766	649.405	635.266	617.693	597.102	573.962	548.776	522.058	494.32	466.052	437.71	409.704	382.392	356.072	330.987	307.319	285.198	264.702	245.866	228.688	213.132	199.139	186.631	175.517	165.695	157.06	149.507	142.93	137.228	132.305	128.072	124.444	121.346	118.709	116.472	114.58	112.983	111.64	110.512	109.568	108.78	108.122	107.575	107.12	106.744	106.432	106.175	105.963	105.788	105.644	105.526	105.429	105.349	105.285	105.231	105.188	105.153	105.124	105.1	105.081	105.066	105.053	105.043	105.035	105.028	105.023	105.018	105.015	105.012	105.01	105.008	105.006	105.005	105.004	105.003	105.003	105.002	105.002	105.001	105.001	105.001	105	105	105
56	641.734	639.906	634.462	625.528	613.301	598.051	580.103	559.827	537.624	513.912	489.111	463.634	437.869	412.177	386.88	362.258	338.548	315.939	294.576	274.563	255.964	238.807	223.092	208.794	195.866	184.246	173.859	164.624	156.454	149.261	142.956	137.453	132.669	128.526	124.952	121.878	119.245	116.994	115.078	113.45	112.07	110.905	109.923	109.097	108.403	107.823	107.338	106.933	106.597	106.317	106.084	105.892	105.733	105.601	105.493	105.404	105.33	105.27	105.22	105.18	105.146	105.119	105.097	105.079	105.064	105.052	105.042	105.034	105.028	105.022	105.018	105.015	105.012	105.01	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105.001	105	105
57	618.705	617.111	612.361	604.553	593.845	580.45	564.627	546.676	526.922	505.708	483.385	460.299	436.786	413.16	389.711	366.695	344.336	322.822	302.304	282.897	264.685	247.72	232.024	217.598	204.421	192.455	181.651	171.945	163.272	155.557	148.726	142.704	137.418	132.795	128.767	125.271	122.246	119.637	117.395	115.473	113.831	112.431	111.24	110.231	109.377	108.656	108.049	107.538	107.11	106.751	106.452	106.202	105.993	105.82	105.676	105.557	105.458	105.377	105.309	105.254	105.208	105.17	105.139	105.114	105.093	105.076	105.062	105.05	105.041	105.033	105.027	105.022	105.018	105.014	105.012	105.009	105.008	105.006	105.005	105.004	105.003	105.002	105.002	105.001	105.001	105
58	598.441	597.035	592.842	585.943	576.463	564.575	550.492	534.456	516.738	497.623	477.406	456.381	434.838	413.051	391.28	369.758	348.693	328.266	308.627	289.898	272.173	255.517	239.972	225.556	212.269	200.094	188.999	178.941	169.869	161.725	154.448	147.974	142.238	137.176	132.727	128.83	125.428	122.47	119.904	117.686	115.775	114.132	112.724	111.52	110.493	109.62	108.878	108.25	107.72	107.272	106.895	106.578	106.313	106.09	105.904	105.749	105.62	105.512	105.423	105.349	105.287	105.236	105.194	105.159	105.131	105.107	105.088	105.072	105.059	105.048	105.039	105.032	105.026	105.021	105.017	105.014	105.011	105.009	105.007	105.006	105.004	105.003	105.002	105.002	105.001	105
59	580.427	579.175	575.439	569.284	560.814	550.172	537.532	523.097	507.092	489.758	471.344	452.105	432.289	412.14	391.886	371.741	351.896	332.522	313.765	295.748	278.569	262.303	247.004	232.704	219.418	207.144	195.866	185.558	176.183	167.697	160.05	153.189	147.06	141.606	136.772	132.503	128.746	125.451	122.571	120.061	117.881	115.992	114.36	112.954	111.746	110.711	109.826	109.07	108.427	107.881	107.418	107.026	106.695	106.416	106.181	105.984	105.819	105.681	105.565	105.468	105.388	105.321	105.265	105.219	105.18	105.148	105.122	105.1	105.082	105.068	105.055	105.045	105.037	105.03	105.025	105.02	105.016	105.013	105.01	105.008	105.006	105.005	105.004	105.002	105.001	105
60	564.275	563.15	559.793	554.258	546.631	537.031	525.604	512.522	497.973	482.164	465.308	447.624	429.33	410.639	391.756	372.874	354.169	335.799	317.906	300.609	284.009	268.186	253.2	239.094	225.893	213.61	202.24	191.77	182.175	173.424	165.478	158.295	151.829	146.03	140.851	136.242	132.155	128.543	125.362	122.568	120.124	117.99	116.134	114.522	113.128	111.924	110.887	109.996	109.232	108.579	108.022	107.547	107.144	106.801	106.511	106.266	106.059	105.885	105.739	105.616	105.512	105.426	105.354	105.293	105.243	105.201	105.166	105.137	105.113	105.093	105.077	105.063	105.052	105.043	105.035	105.028	105.023	105.019	105.015	105.012	105.009	105.007	105.005	105.003	105.002	105
